Survived,Pclass,Sex,Age,Fare
0,3,male,34.5,7.8292
1,3,female,47,7
0,2,male,62,9.6875
0,3,male,27,8.6625
1,3,female,22,12.2875
0,3,male,14,9.225
1,3,female,30,7.6292
0,2,male,26,29
1,3,female,18,7.2292
0,3,male,21,24.15
0,3,male,,7.8958
0,1,male,46,26
1,1,female,23,82.2667
0,2,male,63,26
1,1,female,47,61.175
1,2,female,24,27.7208
0,2,male,35,12.35
0,3,male,21,7.225
1,3,female,27,7.925
1,3,female,45,7.225
0,1,male,55,59.4
0,3,male,9,3.1708
1,1,female,,31.6833
0,1,male,21,61.3792
1,1,female,48,262.375
0,3,male,50,14.5
1,1,female,22,61.9792
0,3,male,22.5,7.225
0,1,male,41,30.5
0,3,male,,21.6792
0,2,male,50,26
0,2,male,24,31.5
1,3,female,33,20.575
1,3,female,,23.45
0,1,male,30,57.75
0,3,male,18.5,7.2292
1,3,female,,8.05
1,3,female,21,8.6625
0,3,male,25,9.5
0,3,male,,56.4958
0,3,male,39,13.4167
0,1,male,,26.55
0,3,male,41,7.85
1,2,female,30,13
1,1,female,45,52.5542
0,3,male,25,7.925
0,1,male,45,29.7
0,3,male,,7.75
1,1,female,60,76.2917
1,3,female,36,15.9
0,1,male,24,60
0,2,male,27,15.0333
1,2,female,20,23
1,1,female,28,263
0,2,male,,15.5792
0,3,male,10,29.125
0,3,male,35,7.8958
0,3,male,25,7.65
0,3,male,,16.1
1,1,female,36,262.375
0,3,male,17,7.8958
0,2,male,32,13.5
0,3,male,18,7.75
1,3,female,22,7.725
0,1,male,13,262.375
1,2,female,,21
1,3,female,18,7.8792
0,1,male,47,42.4
0,1,male,31,28.5375
1,1,female,60,263
1,3,female,24,7.75
0,3,male,21,7.8958
1,3,female,29,7.925
0,1,male,28.5,27.7208
1,1,female,35,211.5
0,1,male,32.5,211.5
0,3,male,,8.05
1,1,female,55,25.7
0,2,male,30,13
1,3,female,24,7.75
0,3,male,6,15.2458
0,1,male,67,221.7792
0,1,male,49,26
0,3,male,,7.8958
0,2,male,,10.7083
0,3,male,,14.4542
1,3,female,27,7.8792
1,3,female,18,8.05
1,3,female,,7.75
0,2,male,2,23
1,3,female,22,13.9
0,3,male,,7.775
1,1,female,27,52
0,3,male,,8.05
0,1,male,25,26
0,3,male,25,7.7958
1,1,female,76,78.85
0,3,male,29,7.925
1,3,female,20,7.8542
0,3,male,33,8.05
1,1,female,43,55.4417
0,2,male,27,26
0,3,male,,7.75
0,3,male,26,7.775
1,3,female,16,8.5167
0,3,male,28,22.525
0,3,male,21,7.8208
0,3,male,,7.75
0,3,male,,8.7125
0,2,male,18.5,13
0,2,male,41,15.0458
1,3,female,,7.7792
1,1,female,36,31.6792
1,3,female,18.5,7.2833
1,1,female,63,221.7792
0,3,male,18,14.4542
0,3,male,,6.4375
1,3,female,1,16.7
0,1,male,36,75.2417
1,2,female,29,26
1,2,female,12,15.75
0,3,male,,7.75
1,1,female,35,57.75
0,3,male,28,7.25
0,3,male,,7.75
1,3,female,17,16.1
0,3,male,22,7.7958
1,3,female,,23.25
0,2,male,42,13
0,3,male,24,8.05
0,3,male,32,8.05
0,1,male,53,28.5
1,3,female,,25.4667
0,3,male,,6.4375
0,3,male,43,7.8958
0,3,male,24,7.8542
0,3,male,26.5,7.225
0,2,male,26,13
1,3,female,23,8.05
0,3,male,40,46.9
1,3,female,10,46.9
1,1,female,33,151.55
0,1,male,61,262.375
0,2,male,28,26
0,1,male,42,26.55
0,3,male,31,18
0,1,male,,51.8625
0,3,male,22,8.05
0,1,male,,26.55
0,2,male,30,26
1,1,female,23,83.1583
0,3,male,,7.8958
0,3,male,60.5,
1,3,female,36,12.1833
0,3,male,13,31.3875
0,3,male,24,7.55
1,1,female,29,221.7792
1,3,female,23,7.8542
0,1,male,42,26.55
1,3,female,26,13.775
1,3,female,,7.7333
0,3,male,7,15.2458
1,2,female,26,13.5
0,3,male,,7
0,2,male,41,13
1,3,female,26,22.025
0,1,male,48,50.4958
0,3,male,18,34.375
1,1,female,,27.7208
1,3,female,22,8.9625
0,3,male,,7.55
0,3,male,27,7.225
0,3,male,23,13.9
0,3,male,,7.2292
0,3,male,40,31.3875
1,2,female,15,39
1,2,female,20,36.75
0,1,male,54,55.4417
1,2,female,36,39
1,1,female,64,83.1583
0,2,male,30,13
0,1,male,37,83.1583
1,1,female,18,53.1
0,3,male,,7.75
1,1,female,27,247.5208
0,2,male,40,16
1,2,female,21,21
0,3,male,17,8.05
1,3,female,,69.55
0,2,male,40,13
0,2,male,34,26
0,1,male,,26
0,3,male,11.5,14.5
0,2,male,61,12.35
0,2,male,8,32.5
0,3,male,33,7.8542
0,1,male,6,134.5
1,3,female,18,7.775
0,2,male,23,10.5
1,3,female,,8.1125
1,3,female,,15.5
0,3,male,0.33,14.4
0,1,male,47,227.525
1,2,female,8,26
0,2,male,25,10.5
0,1,male,,25.7417
1,3,female,35,7.75
0,2,male,24,10.5
1,1,female,33,27.7208
0,3,male,25,7.8958
0,3,male,32,22.525
0,3,male,,7.05
0,2,male,17,73.5
1,2,female,60,26
1,3,female,38,7.775
0,1,male,42,42.5
1,3,female,,7.8792
0,1,male,57,164.8667
1,1,female,50,211.5
0,3,male,,8.05
1,2,female,30,13.8583
0,3,male,21,8.05
1,2,female,22,10.5
0,3,male,21,7.7958
1,1,female,53,27.4458
1,3,female,,15.2458
0,3,male,23,7.7958
1,3,female,,7.75
0,3,male,40.5,15.1
0,2,male,36,13
0,2,male,14,65
1,1,female,21,26.55
0,3,male,21,6.4958
0,3,male,,7.8792
0,1,male,39,71.2833
0,3,male,20,7.8542
0,1,male,64,75.25
0,3,male,20,7.225
1,2,female,18,13
1,1,female,48,106.425
1,1,female,55,27.7208
1,2,female,45,30
0,1,male,45,134.5
0,3,male,,7.8875
0,3,male,,23.45
0,1,male,41,51.8625
1,2,female,22,21
0,2,male,42,32.5
1,2,female,29,26
1,3,female,,14.4542
1,2,female,0.92,27.75
0,3,male,20,7.925
0,1,male,27,136.7792
0,3,male,24,9.325
0,3,male,32.5,9.5
0,3,male,,7.55
0,3,male,,7.75
0,3,male,28,8.05
1,2,female,19,13
0,3,male,21,7.775
0,3,male,36.5,17.4
0,3,male,21,7.8542
1,2,female,29,23
1,3,female,1,12.1833
0,2,male,30,12.7375
0,3,male,,7.8958
0,1,male,,0
0,3,male,,7.55
1,3,female,,8.05
0,3,male,17,8.6625
0,1,male,46,75.2417
0,3,male,,7.75
1,1,female,26,136.7792
1,3,female,,15.5
0,3,male,,7.225
1,2,female,20,26
0,2,male,28,10.5
0,2,male,40,26
0,2,male,30,21
0,2,male,22,10.5
1,3,female,23,8.6625
0,3,male,0.75,13.775
1,3,female,,7.75
1,3,female,9,15.2458
1,3,female,2,20.2125
0,3,male,36,7.25
0,3,male,,7.25
0,1,male,24,82.2667
0,3,male,,7.2292
0,3,male,,8.05
0,1,male,,39.6
1,3,female,30,6.95
0,3,male,,7.2292
0,1,male,53,81.8583
0,3,male,36,9.5
0,3,male,26,7.8958
1,2,female,1,41.5792
0,3,male,,21.6792
0,1,male,30,45.5
0,3,male,29,7.8542
0,3,male,32,7.775
0,2,male,,15.0458
0,2,male,43,21
0,3,male,24,8.6625
1,3,female,,7.75
1,1,female,64,26.55
0,1,male,30,151.55
0,3,male,0.83,9.35
0,1,male,55,93.5
1,3,female,45,14.1083
0,3,male,18,8.6625
0,3,male,22,7.225
0,3,male,,7.575
1,3,female,37,7.75
1,1,female,55,135.6333
1,3,female,17,7.7333
0,1,male,57,146.5208
0,2,male,19,10.5
0,3,male,27,7.8542
0,2,male,22,31.5
0,3,male,26,7.775
0,3,male,25,7.2292
0,2,male,26,13
0,1,male,33,26.55
1,1,female,39,211.3375
0,3,male,23,7.05
1,2,female,12,39
0,1,male,46,79.2
0,2,male,29,26
0,2,male,21,13
1,2,female,48,36.75
0,1,male,39,29.7
0,3,male,,7.225
1,3,female,19,15.7417
0,3,male,27,7.8958
0,1,male,30,26
0,2,male,32,13
0,3,male,39,7.2292
0,2,male,25,31.5
0,3,male,,7.2292
0,2,male,18,10.5
0,3,male,32,7.5792
0,3,male,,69.55
1,1,female,58,512.3292
0,3,male,,14.5
1,3,female,16,7.65
0,2,male,26,13
1,3,female,38,7.2292
0,2,male,24,13.5
1,2,female,31,21
1,1,female,45,63.3583
0,2,male,25,10.5
0,2,male,18,73.5
0,2,male,49,65
1,3,female,0.17,20.575
0,1,male,50,26
1,1,female,59,51.4792
0,3,male,,7.8792
0,3,male,,7.75
1,3,female,30,15.55
0,3,male,14.5,69.55
1,2,female,24,37.0042
1,2,female,31,21
0,3,male,27,8.6625
1,1,female,25,55.4417
1,3,female,,69.55
0,3,male,,14.4583
1,3,female,22,39.6875
1,1,female,45,59.4
0,2,male,29,13.8583
0,2,male,21,11.5
1,1,female,31,134.5
0,1,male,49,0
0,2,male,44,13
1,1,female,54,81.8583
1,1,female,45,262.375
1,3,female,22,8.6625
0,2,male,21,11.5
0,1,male,55,50
0,3,male,5,31.3875
0,3,male,,7.75
0,3,male,26,7.8792
1,3,female,,14.5
1,3,female,19,16.1
0,2,male,,12.875
1,2,female,24,65
0,3,male,24,7.775
0,2,male,57,13
0,3,male,21,7.75
0,3,male,6,21.075
0,1,male,23,93.5
1,1,female,51,39.4
0,3,male,13,20.25
0,2,male,47,10.5
0,3,male,29,22.025
1,1,female,18,60
0,3,male,24,7.25
1,1,female,48,79.2
0,3,male,22,7.775
0,3,male,31,7.7333
1,1,female,30,164.8667
0,2,male,38,21
1,1,female,22,59.4
0,1,male,17,47.1
0,1,male,43,27.7208
0,2,male,20,13.8625
0,2,male,23,10.5
0,1,male,50,211.5
1,3,female,,7.7208
1,3,female,3,13.775
1,3,female,,7.75
1,1,female,37,90
1,3,female,28,7.775
0,3,male,,8.05
1,1,female,39,108.9
0,3,male,38.5,7.25
0,3,male,,8.05
0,3,male,,22.3583
